"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"31.12.2024","0,6187","0,6221","0,6233","0,6179","","-0,50%"
"30.12.2024","0,6218","0,6210","0,6248","0,6202","","0,05%"
"27.12.2024","0,6215","0,6221","0,6229","0,6200","","-0,08%"
"26.12.2024","0,6220","0,6236","0,6256","0,6216","","-0,27%"
"25.12.2024","0,6237","0,6243","0,6248","0,6229","","0,02%"
"24.12.2024","0,6236","0,6249","0,6254","0,6224","","-0,16%"
"23.12.2024","0,6246","0,6266","0,6271","0,6219","","-0,06%"
"20.12.2024","0,6250","0,6240","0,6276","0,6214","","0,22%"
"19.12.2024","0,6236","0,6218","0,6266","0,6198","","0,31%"
"18.12.2024","0,6217","0,6339","0,6341","0,6214","","-1,88%"
"17.12.2024","0,6336","0,6369","0,6379","0,6331","","-0,53%"
"16.12.2024","0,6370","0,6360","0,6384","0,6345","","0,14%"
"13.12.2024","0,6361","0,6369","0,6384","0,6352","","-0,09%"
"12.12.2024","0,6367","0,6369","0,6431","0,6361","","-0,02%"
"11.12.2024","0,6368","0,6378","0,6391","0,6336","","-0,11%"
"10.12.2024","0,6375","0,6440","0,6444","0,6365","","-0,96%"
"09.12.2024","0,6437","0,6392","0,6473","0,6379","","0,75%"
"06.12.2024","0,6389","0,6453","0,6457","0,6372","","-0,95%"
"05.12.2024","0,6450","0,6430","0,6456","0,6421","","0,34%"
"04.12.2024","0,6428","0,6486","0,6490","0,6399","","-0,85%"
"03.12.2024","0,6483","0,6474","0,6506","0,6455","","0,19%"
"02.12.2024","0,6471","0,6516","0,6527","0,6443","","-0,60%"
"29.11.2024","0,6510","0,6499","0,6529","0,6492","","0,17%"
"28.11.2024","0,6499","0,6497","0,6511","0,6477","","0,06%"
"27.11.2024","0,6495","0,6475","0,6502","0,6464","","0,36%"
"26.11.2024","0,6472","0,6504","0,6508","0,6434","","-0,46%"
"25.11.2024","0,6502","0,6506","0,6551","0,6486","","0,02%"
"22.11.2024","0,6501","0,6512","0,6523","0,6471","","-0,15%"
"21.11.2024","0,6511","0,6502","0,6534","0,6497","","0,12%"
"20.11.2024","0,6503","0,6532","0,6546","0,6484","","-0,43%"
"19.11.2024","0,6531","0,6508","0,6535","0,6482","","0,37%"
"18.11.2024","0,6507","0,6461","0,6512","0,6447","","0,71%"
"15.11.2024","0,6461","0,6453","0,6482","0,6442","","0,14%"
"14.11.2024","0,6452","0,6489","0,6499","0,6440","","-0,51%"
"13.11.2024","0,6485","0,6535","0,6547","0,6480","","-0,73%"
"12.11.2024","0,6533","0,6575","0,6583","0,6513","","-0,62%"
"11.11.2024","0,6574","0,6594","0,6602","0,6562","","-0,09%"
"08.11.2024","0,6580","0,6674","0,6682","0,6558","","-1,47%"
"07.11.2024","0,6678","0,6568","0,6689","0,6564","","1,67%"
"06.11.2024","0,6568","0,6638","0,6646","0,6512","","-1,01%"
"05.11.2024","0,6635","0,6586","0,6643","0,6578","","0,77%"
"04.11.2024","0,6584","0,6579","0,6621","0,6572","","0,38%"
"01.11.2024","0,6559","0,6583","0,6593","0,6554","","-0,33%"
"31.10.2024","0,6581","0,6573","0,6585","0,6539","","0,15%"
"30.10.2024","0,6571","0,6561","0,6598","0,6536","","0,17%"
"29.10.2024","0,6560","0,6584","0,6587","0,6545","","-0,35%"
"28.10.2024","0,6583","0,6619","0,6629","0,6579","","-0,30%"
"25.10.2024","0,6603","0,6641","0,6647","0,6601","","-0,56%"
"24.10.2024","0,6640","0,6634","0,6663","0,6621","","0,11%"
"23.10.2024","0,6633","0,6683","0,6693","0,6614","","-0,72%"
"22.10.2024","0,6681","0,6659","0,6696","0,6650","","0,35%"
"21.10.2024","0,6658","0,6708","0,6725","0,6653","","-0,72%"
"18.10.2024","0,6706","0,6697","0,6721","0,6691","","0,15%"
"17.10.2024","0,6696","0,6667","0,6712","0,6659","","0,45%"
"16.10.2024","0,6666","0,6704","0,6709","0,6658","","-0,54%"
