"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"30.12.2024","1.675,0","1.680,0","1.705,0","1.675,0","796,96K","0,90%"
"27.12.2024","1.660,0","1.680,0","1.690,0","1.650,0","2,46M","0,00%"
"26.12.2024","1.660,0","1.665,0","1.675,0","1.655,0","595,13K","0,00%"
"24.12.2024","1.660,0","1.690,0","1.690,0","1.640,0","427,33K","-1,48%"
"23.12.2024","1.685,0","1.660,0","1.685,0","1.640,0","1,41M","2,12%"
"20.12.2024","1.650,0","1.650,0","1.690,0","1.650,0","8,58M","-1,79%"
"19.12.2024","1.680,0","1.695,0","1.715,0","1.670,0","3,85M","-0,30%"
"18.12.2024","1.685,0","1.720,0","1.725,0","1.685,0","1,72M","-3,16%"
"17.12.2024","1.740,0","1.715,0","1.740,0","1.700,0","1,89M","0,58%"
"16.12.2024","1.730,0","1.770,0","1.770,0","1.725,0","7,01M","-2,81%"
"13.12.2024","1.780,0","1.815,0","1.815,0","1.775,0","3,07M","-1,93%"
"12.12.2024","1.815,0","1.800,0","1.815,0","1.775,0","958,52K","0,28%"
"11.12.2024","1.810,0","1.825,0","1.825,0","1.800,0","1,68M","-1,09%"
"10.12.2024","1.830,0","1.815,0","1.840,0","1.815,0","2,44M","2,23%"
"09.12.2024","1.790,0","1.750,0","1.815,0","1.750,0","10,21M","3,47%"
"06.12.2024","1.730,0","1.780,0","1.780,0","1.720,0","2,83M","-2,26%"
"05.12.2024","1.770,0","1.780,0","1.780,0","1.765,0","1,43M","0,85%"
"04.12.2024","1.755,0","1.785,0","1.790,0","1.755,0","2,17M","-1,40%"
"03.12.2024","1.780,0","1.780,0","1.785,0","1.760,0","2,34M","0,28%"
"02.12.2024","1.775,0","1.800,0","1.800,0","1.750,0","4,06M","-1,39%"
"29.11.2024","1.800,0","1.785,0","1.800,0","1.760,0","3,72M","1,12%"
"28.11.2024","1.780,0","1.770,0","1.780,0","1.770,0","390,66K","0,56%"
"27.11.2024","1.770,0","1.775,0","1.790,0","1.765,0","1,75M","0,57%"
"26.11.2024","1.760,0","1.790,0","1.790,0","1.750,0","2,92M","-3,03%"
"25.11.2024","1.815,0","1.810,0","1.815,0","1.760,0","6,78M","-0,82%"
"22.11.2024","1.830,0","1.805,0","1.850,0","1.805,0","3,61M","1,67%"
"21.11.2024","1.800,0","1.790,0","1.800,0","1.780,0","4,56M","2,56%"
"20.11.2024","1.755,0","1.785,0","1.790,0","1.755,0","1,98M","-1,40%"
