"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"31.12.2024","162,73","163,23","163,43","162,42","","-0,29%"
"30.12.2024","163,21","164,67","164,89","162,77","","-0,82%"
"27.12.2024","164,56","164,71","164,80","163,96","","-0,07%"
"26.12.2024","164,67","163,59","164,78","163,30","","0,56%"
"25.12.2024","163,76","163,45","163,97","163,32","","0,21%"
"24.12.2024","163,42","163,55","163,74","163,09","","-0,06%"
"23.12.2024","163,52","163,07","163,67","162,85","","0,25%"
"20.12.2024","163,12","163,17","163,69","162,32","","-0,01%"
"19.12.2024","163,13","160,28","163,84","159,85","","1,80%"
"18.12.2024","160,25","161,05","161,61","159,80","","-0,46%"
"17.12.2024","160,99","162,05","162,50","160,76","","-0,63%"
"16.12.2024","162,01","161,33","162,24","161,08","","0,41%"
"13.12.2024","161,35","159,76","161,57","159,64","","1,00%"
"12.12.2024","159,75","160,01","160,59","159,09","","-0,13%"
"11.12.2024","159,96","159,99","160,65","158,65","","0,01%"
"10.12.2024","159,94","159,60","160,09","159,37","","0,25%"
"09.12.2024","159,54","158,49","160,01","157,85","","0,62%"
"06.12.2024","158,55","158,91","159,76","158,09","","-0,20%"
"05.12.2024","158,87","158,32","159,41","157,55","","0,37%"
"04.12.2024","158,28","157,22","158,68","156,97","","0,68%"
"03.12.2024","157,21","157,06","158,01","156,16","","0,12%"
"02.12.2024","157,02","158,41","158,67","156,37","","-0,85%"
"29.11.2024","158,36","159,96","159,99","158,01","","-0,98%"
"28.11.2024","159,92","159,68","160,37","159,49","","0,19%"
"27.11.2024","159,62","160,59","160,73","159,08","","-0,59%"
"26.11.2024","160,56","161,83","162,04","160,29","","-0,78%"
"25.11.2024","161,83","160,68","162,16","160,67","","0,37%"
"22.11.2024","161,24","161,87","162,51","159,91","","-0,36%"
"21.11.2024","161,82","163,84","163,89","161,74","","-1,25%"
"20.11.2024","163,87","163,85","164,78","163,16","","0,01%"
"19.11.2024","163,85","163,93","163,99","161,49","","-0,02%"
"18.11.2024","163,88","162,78","164,00","162,25","","0,73%"
"15.11.2024","162,69","164,57","165,05","162,32","","-1,12%"
"14.11.2024","164,53","164,23","165,00","163,79","","0,20%"
"13.11.2024","164,20","164,26","165,10","163,63","","-0,02%"
"12.11.2024","164,23","163,79","164,34","163,22","","0,29%"
"11.11.2024","163,76","163,64","164,67","163,48","","0,10%"
"08.11.2024","163,59","165,26","165,44","163,21","","-0,99%"
"07.11.2024","165,23","165,92","165,98","164,99","","-0,40%"
"06.11.2024","165,89","165,74","166,14","164,93","","0,11%"
"05.11.2024","165,71","165,48","166,08","165,41","","0,15%"
"04.11.2024","165,47","165,75","166,55","165,23","","-0,15%"
"01.11.2024","165,72","165,46","166,43","165,22","","0,16%"
"31.10.2024","165,45","166,56","166,70","164,92","","-0,66%"
"30.10.2024","166,55","165,91","166,62","165,49","","0,40%"
"29.10.2024","165,89","165,75","166,15","165,14","","0,10%"
"28.10.2024","165,73","164,46","166,09","164,43","","0,82%"
"25.10.2024","164,38","164,39","164,81","163,91","","0,00%"
"24.10.2024","164,38","164,68","164,77","163,79","","-0,18%"
"23.10.2024","164,68","163,15","165,04","163,05","","0,97%"
"22.10.2024","163,10","163,14","163,69","162,79","","-0,01%"
"21.10.2024","163,12","162,41","163,17","162,00","","0,40%"
"18.10.2024","162,47","162,70","162,87","162,18","","-0,13%"
"17.10.2024","162,68","162,54","162,78","161,85","","0,11%"
"16.10.2024","162,50","162,50","162,90","162,11","","0,02%"
"15.10.2024","162,47","163,38","163,45","162,34","","-0,54%"
"14.10.2024","163,36","163,01","163,66","162,89","","0,16%"
"11.10.2024","163,10","162,47","163,41","162,30","","0,40%"
"10.10.2024","162,45","163,34","163,63","162,17","","-0,53%"
"09.10.2024","163,31","162,73","163,49","162,38","","0,37%"
"08.10.2024","162,71","162,65","162,84","161,90","","0,06%"
"07.10.2024","162,61","163,24","163,59","162,30","","-0,37%"
"04.10.2024","163,22","162,07","163,41","160,73","","0,73%"
"03.10.2024","162,04","161,79","162,51","161,36","","0,17%"
"02.10.2024","161,77","158,89","161,89","158,70","","1,81%"
"01.10.2024","158,89","159,93","160,94","158,36","","-0,64%"
"30.09.2024","159,91","158,68","160,16","158,10","","0,74%"
"27.09.2024","158,73","161,86","163,51","158,57","","-1,92%"
"26.09.2024","161,83","161,16","161,94","160,74","","0,43%"
"25.09.2024","161,14","160,14","161,69","159,87","","0,64%"
"24.09.2024","160,11","159,60","161,13","159,22","","0,34%"
"23.09.2024","159,57","160,67","161,20","159,04","","-0,66%"
"20.09.2024","160,63","159,19","161,19","158,40","","0,91%"
"19.09.2024","159,18","158,20","159,99","157,78","","0,63%"
"18.09.2024","158,18","158,27","158,75","157,04","","-0,04%"
"17.09.2024","158,25","156,55","158,34","156,04","","1,11%"
"16.09.2024","156,52","156,01","156,72","155,15","","0,35%"
"13.09.2024","155,97","157,07","157,12","155,60","","-0,67%"
"12.09.2024","157,02","156,76","157,53","156,52","","0,18%"
"11.09.2024","156,74","157,00","157,02","155,46","","-0,13%"
"10.09.2024","156,94","158,01","158,65","156,79","","-0,65%"
"09.09.2024","157,97","157,68","158,75","157,40","","0,18%"
"06.09.2024","157,68","159,39","159,47","157,45","","-1,05%"
"05.09.2024","159,36","159,29","159,82","158,55","","0,05%"
"04.09.2024","159,28","160,66","160,91","159,25","","-0,85%"
"03.09.2024","160,64","162,63","162,82","160,50","","-1,22%"
"02.09.2024","162,63","161,49","162,90","161,01","","0,72%"
"30.08.2024","161,46","160,61","161,64","160,19","","0,54%"
"29.08.2024","160,59","160,78","161,29","160,02","","-0,11%"
"28.08.2024","160,77","161,03","161,39","160,43","","-0,14%"
"27.08.2024","160,99","161,31","162,21","160,88","","-0,19%"
"26.08.2024","161,30","161,54","161,60","160,50","","-0,15%"
"23.08.2024","161,55","162,55","162,74","161,20","","-0,60%"
"22.08.2024","162,52","162,00","162,94","161,45","","0,35%"
"21.08.2024","161,95","161,68","162,80","161,33","","0,18%"
"20.08.2024","161,66","162,51","163,23","161,52","","-0,50%"
"19.08.2024","162,47","162,72","163,21","160,41","","-0,17%"
"16.08.2024","162,75","163,79","163,89","162,30","","-0,61%"
"15.08.2024","163,75","162,25","163,91","161,81","","0,94%"
"14.08.2024","162,22","161,42","162,60","160,58","","0,52%"
"13.08.2024","161,38","160,91","161,82","160,64","","0,30%"
"12.08.2024","160,89","160,05","161,98","160,05","","0,53%"
"09.08.2024","160,04","160,82","161,39","159,81","","-0,47%"
"08.08.2024","160,80","160,22","160,92","158,95","","0,37%"
"07.08.2024","160,20","157,77","161,45","157,70","","1,57%"
"06.08.2024","157,72","157,94","160,25","157,29","","-0,11%"
"05.08.2024","157,89","160,07","160,11","154,40","","-1,24%"
"02.08.2024","159,88","161,20","161,95","159,68","","-0,80%"
"01.08.2024","161,17","162,38","162,92","160,88","","-0,73%"
"31.07.2024","162,35","165,23","166,40","162,01","","-1,73%"
"30.07.2024","165,21","166,67","167,98","165,08","","-0,85%"
"29.07.2024","166,62","167,01","167,54","166,22","","-0,16%"
"26.07.2024","166,88","166,97","168,03","166,35","","-0,02%"
"25.07.2024","166,92","166,83","167,63","164,82","","0,08%"
"24.07.2024","166,79","168,87","169,23","166,14","","-1,20%"
