"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"30.12.2024","97,360","97,370","97,370","97,360","4,57K","-0,01%"
"27.12.2024","97,370","97,375","97,380","97,365","0,63K","0,04%"
"23.12.2024","97,330","97,315","97,330","97,315","0,47K","0,01%"
"20.12.2024","97,320","97,300","97,305","97,300","0,00K","0,02%"
"19.12.2024","97,305","97,300","97,305","97,300","0,08K","0,00%"
"18.12.2024","97,305","97,295","97,295","97,295","0,05K","0,01%"
"17.12.2024","97,295","97,300","97,300","97,295","0,41K","0,16%"
"16.12.2024","97,137","97,145","97,150","97,145","0,06K","-0,01%"
"13.12.2024","97,150","97,135","97,150","97,130","5,18K","0,01%"
"12.12.2024","97,145","97,155","97,160","97,135","11,97K","-0,02%"
"11.12.2024","97,165","97,170","97,170","97,160","30,87K","-0,01%"
"10.12.2024","97,175","97,175","97,175","97,165","15,66K","-0,01%"
"09.12.2024","97,180","97,180","97,180","97,175","28,31K","0,01%"
"06.12.2024","97,175","97,170","97,185","97,170","6,42K","0,00%"
"05.12.2024","97,175","97,170","97,175","97,170","13,48K","0,00%"
"04.12.2024","97,175","97,185","97,185","97,170","25,97K","-0,02%"
"03.12.2024","97,190","97,185","97,195","97,180","22,31K","0,00%"
"02.12.2024","97,190","97,190","97,200","97,180","15,64K","-0,01%"
"29.11.2024","97,200","97,185","97,205","97,170","7,19K","0,02%"
"28.11.2024","97,185","97,170","97,190","97,170","19,64K","0,01%"
"27.11.2024","97,180","97,220","97,220","97,175","30,62K","-0,04%"
"26.11.2024","97,215","97,225","97,225","97,210","18,71K","-0,02%"
"25.11.2024","97,230","97,250","97,250","97,215","3,73K","-0,03%"
"22.11.2024","97,255","97,180","97,300","97,170","9,29K","0,08%"
"21.11.2024","97,175","97,170","97,185","97,165","30,93K","0,00%"
"20.11.2024","97,175","97,160","97,175","97,160","14,69K","0,01%"
"19.11.2024","97,170","97,180","97,185","97,170","26,49K","0,18%"
"18.11.2024","96,996","97,000","97,000","96,990","0,02K","-0,01%"
"15.11.2024","97,005","97,020","97,020","97,005","0,44K","-0,02%"
"14.11.2024","97,020","97,005","97,015","97,005","0,40K","0,01%"
"13.11.2024","97,010","97,005","97,010","97,005","0,14K","-0,01%"
"12.11.2024","97,015","97,010","97,015","97,005","0,39K","0,01%"
"11.11.2024","97,010","97,005","97,005","97,000","0,05K","0,01%"
"08.11.2024","97,000","96,985","96,985","96,985","0,00K","0,00%"
"07.11.2024","97,000","97,000","97,005","96,995","0,02K","-0,01%"
"06.11.2024","97,005","97,010","97,010","97,005","0,00K","0,03%"
"05.11.2024","96,980","96,980","96,985","96,980","0,02K","-0,01%"
"04.11.2024","96,990","96,990","96,990","96,985","0,04K","-0,01%"
"01.11.2024","97,000","97,005","97,005","97,000","0,02K","0,00%"
"31.10.2024","97,000","97,000","97,000","97,000","0,00K","-0,02%"
"30.10.2024","97,015","97,040","97,040","97,015","0,01K","-0,03%"
"29.10.2024","97,045","97,045","97,045","97,040","0,02K","0,00%"
"28.10.2024","97,045","97,040","97,040","97,040","0,01K","0,01%"
"25.10.2024","97,040","97,040","97,040","97,030","0,03K","-0,01%"
"24.10.2024","97,045","97,030","97,040","97,030","0,01K","0,02%"
"23.10.2024","97,025","97,020","97,030","97,020","0,03K","0,02%"
"22.10.2024","97,005","96,980","97,000","96,980","0,02K","0,02%"
"21.10.2024","96,985","96,985","96,995","96,985","0,17K","-0,01%"
"18.10.2024","96,995","96,980","96,980","96,980","0,01K","0,02%"
"17.10.2024","96,975","96,940","96,970","96,930","0,16K","0,03%"
"16.10.2024","96,950","96,940","96,945","96,940","0,05K","0,01%"
"15.10.2024","96,940","96,940","96,950","96,940","0,01K","0,15%"
"14.10.2024","96,795","96,820","96,820","96,820","0,03K","-0,02%"
"11.10.2024","96,815","96,805","96,815","96,805","0,05K","0,00%"
"10.10.2024","96,815","96,790","96,815","96,790","1,01K","0,02%"
"09.10.2024","96,795","96,795","96,795","96,790","1,35K","0,01%"
"08.10.2024","96,790","96,795","96,795","96,785","0,33K","0,00%"
"07.10.2024","96,790","96,800","96,800","96,785","2,30K","-0,01%"
"04.10.2024","96,800","96,815","96,815","96,800","0,05K","-0,02%"
"03.10.2024","96,815","96,825","96,825","96,815","0,11K","-0,01%"
"02.10.2024","96,820","96,825","96,825","96,820","4,15K","0,00%"
"01.10.2024","96,820","96,805","96,825","96,805","0,19K","0,01%"
"30.09.2024","96,810","96,795","96,815","96,775","0,11K","0,02%"
"27.09.2024","96,795","96,755","96,790","96,755","0,05K","0,05%"
"26.09.2024","96,750","96,750","96,760","96,750","0,01K","0,01%"
"25.09.2024","96,745","96,740","96,745","96,740","0,60K","-0,01%"
"24.09.2024","96,750","96,725","96,735","96,720","0,06K","0,05%"
"23.09.2024","96,700","96,655","96,695","96,655","0,22K","0,05%"
"20.09.2024","96,650","96,655","96,655","96,650","0,22K","-0,01%"
"19.09.2024","96,660","96,660","96,665","96,650","0,21K","0,01%"
"18.09.2024","96,650","96,655","96,660","96,655","0,06K","-0,01%"
"17.09.2024","96,660","96,660","96,670","96,660","0,31K","0,15%"
"16.09.2024","96,512","96,540","96,545","96,530","0,11K","-0,03%"
"13.09.2024","96,540","96,540","96,545","96,530","3,30K","0,02%"
"12.09.2024","96,525","96,550","96,550","96,525","3,60K","-0,03%"
"11.09.2024","96,555","96,560","96,560","96,550","3,47K","-0,01%"
"10.09.2024","96,560","96,560","96,560","96,555","0,58K","0,00%"
"09.09.2024","96,560","96,560","96,560","96,550","3,91K","-0,02%"
"06.09.2024","96,575","96,570","96,575","96,560","1,24K","0,01%"
"05.09.2024","96,565","96,565","96,565","96,555","2,24K","0,00%"
"04.09.2024","96,565","96,555","96,565","96,550","3,59K","0,01%"
"03.09.2024","96,555","96,545","96,555","96,545","3,00K","0,01%"
"02.09.2024","96,550","96,550","96,550","96,545","1,05K","-0,01%"
"30.08.2024","96,560","96,575","96,575","96,555","1,47K","-0,02%"
"29.08.2024","96,575","96,570","96,580","96,565","1,44K","0,01%"
"28.08.2024","96,570","96,565","96,570","96,565","1,45K","0,01%"
"27.08.2024","96,565","96,560","96,565","96,560","1,09K","0,00%"
"26.08.2024","96,565","96,585","96,585","96,565","0,42K","-0,02%"
"23.08.2024","96,580","96,570","96,575","96,565","2,33K","0,01%"
"22.08.2024","96,570","96,575","96,585","96,570","1,49K","-0,01%"
"21.08.2024","96,575","96,570","96,575","96,565","1,20K","0,00%"
"20.08.2024","96,575","96,565","96,570","96,565","1,50K","0,13%"
"19.08.2024","96,449","96,455","96,455","96,445","0,01K","-0,01%"
"16.08.2024","96,455","96,460","96,460","96,450","0,05K","0,00%"
"15.08.2024","96,455","96,470","96,470","96,470","1,27K","-0,02%"
"14.08.2024","96,470","96,475","96,480","96,465","7,81K","-0,01%"
"13.08.2024","96,480","96,465","96,475","96,465","1,05K","0,01%"
"12.08.2024","96,470","96,460","96,470","96,460","15,16K","0,01%"
"09.08.2024","96,460","96,465","96,470","96,460","12,16K","-0,01%"
"08.08.2024","96,465","96,470","96,470","96,460","2,81K","0,00%"
"07.08.2024","96,465","96,460","96,460","96,460","23,04K","-0,01%"
"06.08.2024","96,475","96,455","96,475","96,455","6,17K","-0,02%"
"05.08.2024","96,490","96,510","96,510","96,480","0,01K","0,01%"
"02.08.2024","96,480","96,435","96,485","96,435","6,85K","0,05%"
"01.08.2024","96,430","96,425","96,425","96,420","3,41K","0,01%"
"31.07.2024","96,425","96,430","96,435","96,430","0,06K","-0,01%"
"30.07.2024","96,430","96,415","96,425","96,415","2,10K","0,01%"
"29.07.2024","96,420","96,405","96,420","96,405","0,44K","0,01%"
"26.07.2024","96,410","96,405","96,405","96,400","2,77K","0,01%"
"25.07.2024","96,405","96,405","96,405","96,400","22,90K","0,01%"
"24.07.2024","96,400","96,400","96,405","96,395","8,79K","0,00%"
"23.07.2024","96,400","96,390","96,395","96,385","0,21K","0,01%"
"22.07.2024","96,390","96,395","96,395","96,390","6,09K","-0,01%"
"19.07.2024","96,400","96,410","96,410","96,400","6,20K","-0,02%"
"18.07.2024","96,415","96,415","96,415","96,405","3,09K","0,00%"
"17.07.2024","96,415","96,420","96,420","96,415","5,59K","-0,01%"
"16.07.2024","96,425","96,425","96,425","96,420","23,12K","0,09%"
"15.07.2024","96,338","96,335","96,335","96,330","0,15K","0,01%"
"12.07.2024","96,330","96,320","96,330","96,320","3,64K","0,01%"
"11.07.2024","96,325","96,315","96,320","96,315","0,37K","0,01%"
"10.07.2024","96,315","96,315","96,315","96,310","0,40K","0,00%"
"09.07.2024","96,315","96,315","96,315","96,310","4,28K","-0,01%"
"08.07.2024","96,320","96,320","96,320","96,315","0,15K","0,00%"
"05.07.2024","96,320","96,320","96,320","96,320","0,04K","0,00%"
"04.07.2024","96,320","96,325","96,325","96,320","1,27K","-0,01%"
"03.07.2024","96,330","96,325","96,325","96,325","19,78K","0,00%"
"02.07.2024","96,330","96,330","96,330","96,320","18,29K","0,00%"
"01.07.2024","96,330","96,335","96,335","96,330","12,50K","-0,01%"
"28.06.2024","96,340","96,340","96,345","96,340","18,99K","-0,01%"
"27.06.2024","96,345","96,340","96,345","96,340","0,22K","0,00%"
"26.06.2024","96,345","96,350","96,350","96,345","21,11K","0,00%"
"25.06.2024","96,345","96,340","96,340","96,330","14,93K","0,01%"
"24.06.2024","96,335","96,325","96,335","96,325","15,00K","0,01%"
"21.06.2024","96,325","96,315","96,320","96,315","8,16K","0,01%"
"20.06.2024","96,315","96,295","96,315","96,295","0,13K","0,01%"
"19.06.2024","96,305","96,300","96,305","96,300","0,02K","0,00%"
"18.06.2024","96,305","96,305","96,305","96,300","18,85K","0,02%"
"17.06.2024","96,289","96,285","96,285","96,285","0,06K","0,00%"
"14.06.2024","96,285","96,275","96,285","96,275","0,49K","0,01%"
"13.06.2024","96,275","96,270","96,275","96,265","2,19K","0,00%"
"12.06.2024","96,275","96,255","96,270","96,255","1,23K","0,02%"
"11.06.2024","96,260","96,255","96,255","96,255","4,76K","0,00%"
"10.06.2024","96,260","96,255","96,255","96,255","0,34K","0,01%"
"07.06.2024","96,255","96,255","96,255","96,250","0,06K","-0,01%"
"06.06.2024","96,260","96,265","96,265","96,255","0,44K","-0,01%"
"05.06.2024","96,265","96,260","96,270","96,260","0,77K","0,01%"
"04.06.2024","96,260","96,255","96,260","96,255","0,76K","0,01%"
"03.06.2024","96,255","96,250","96,260","96,250","1,07K","0,01%"
"31.05.2024","96,250","96,260","96,260","96,245","1,38K","-0,01%"
"30.05.2024","96,260","96,255","96,265","96,255","0,40K","0,00%"
"29.05.2024","96,260","96,255","96,260","96,255","2,73K","0,00%"
"28.05.2024","96,260","96,255","96,255","96,255","0,44K","0,00%"
"27.05.2024","96,260","96,240","96,255","96,235","2,09K","0,02%"
"24.05.2024","96,240","96,250","96,250","96,235","1,13K","-0,01%"
"23.05.2024","96,250","96,255","96,255","96,245","1,52K","-0,01%"
"22.05.2024","96,255","96,255","96,255","96,245","1,03K","-0,01%"
"21.05.2024","96,265","96,265","96,265","96,265","0,68K","0,00%"
"20.05.2024","96,265","96,260","96,265","96,260","0,64K","-0,01%"
"17.05.2024","96,270","96,270","96,275","96,260","3,69K","-0,01%"
"16.05.2024","96,280","96,285","96,290","96,275","1,28K","-0,01%"
"15.05.2024","96,290","96,275","96,290","96,275","1,01K","0,01%"
"14.05.2024","96,280","96,285","96,285","96,270","2,83K","0,11%"
"13.05.2024","96,172","96,190","96,195","96,190","0,06K","-0,02%"
"10.05.2024","96,195","96,205","96,205","96,190","16,59K","-0,01%"
