"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"31.12.2024","87,33","88,13","88,28","87,26","31,92M","-0,54%"
"30.12.2024","87,80","87,83","88,04","87,67","48,52M","0,80%"
"27.12.2024","87,10","87,48","87,78","87,06","27,26M","-0,82%"
"26.12.2024","87,82","87,21","87,96","87,20","20,00M","-0,06%"
"24.12.2024","87,87","87,04","87,89","86,98","22,38M","0,42%"
"23.12.2024","87,50","88,16","88,23","87,44","32,76M","-0,92%"
"20.12.2024","88,31","88,53","88,91","88,29","45,54M","0,57%"
"19.12.2024","87,81","88,07","88,39","87,50","99,08M","-1,51%"
"18.12.2024","89,16","89,97","90,37","89,14","61,33M","-1,63%"
"17.12.2024","90,64","90,52","90,99","90,46","23,84M","0,24%"
"16.12.2024","90,42","90,55","90,62","90,05","23,48M","0,30%"
"13.12.2024","90,15","90,80","90,85","90,08","39,49M","-1,02%"
"12.12.2024","91,08","91,64","91,75","91,00","45,37M","-1,21%"
"11.12.2024","92,20","93,07","93,29","92,11","38,75M","-0,95%"
"10.12.2024","93,08","93,02","93,30","92,90","28,71M","-0,47%"
"09.12.2024","93,52","93,99","94,04","93,46","30,51M","-0,92%"
"06.12.2024","94,39","94,72","94,85","94,02","31,76M","0,15%"
"05.12.2024","94,25","93,72","94,39","93,65","23,70M","0,20%"
"04.12.2024","94,06","92,61","94,19","92,54","35,85M","1,07%"
"03.12.2024","93,06","93,93","94,03","92,99","32,77M","-0,86%"
"02.12.2024","93,87","93,27","94,15","93,00","39,41M","-0,11%"
"29.11.2024","93,97","93,78","93,99","93,44","31,91M","1,03%"
"27.11.2024","93,01","93,04","93,38","92,67","39,44M","0,69%"
"26.11.2024","92,37","92,16","92,44","91,81","31,12M","-0,39%"
"25.11.2024","92,73","92,20","92,78","91,99","56,86M","2,59%"
"22.11.2024","90,39","90,51","90,70","90,15","21,55M","0,06%"
"21.11.2024","90,34","90,45","90,85","90,00","28,37M","-0,08%"
"20.11.2024","90,41","90,15","90,83","90,11","27,76M","-0,32%"
"19.11.2024","90,70","90,82","91,07","90,62","29,59M","0,51%"
"18.11.2024","90,24","89,66","90,59","89,42","36,06M","0,18%"
"15.11.2024","90,08","89,92","90,65","89,51","73,72M","-0,27%"
"14.11.2024","90,32","90,56","91,03","90,27","53,33M","0,58%"
"13.11.2024","89,80","91,51","91,54","89,72","49,01M","-0,95%"
"12.11.2024","90,66","91,37","91,85","90,51","57,91M","-1,50%"
"11.11.2024","92,04","92,25","92,29","91,62","22,37M","-0,49%"
"08.11.2024","92,49","92,00","92,60","91,84","56,76M","1,27%"
"07.11.2024","91,33","90,75","91,62","90,65","56,22M","1,25%"
"06.11.2024","90,20","89,64","90,72","89,55","98,90M","-2,74%"
"05.11.2024","92,74","92,03","92,90","91,60","46,99M","0,53%"
"04.11.2024","92,25","92,28","92,57","91,63","49,75M","1,55%"
"01.11.2024","90,84","92,26","92,51","90,80","80,40M","-1,74%"
"31.10.2024","92,45","92,20","92,94","91,87","52,17M","0,16%"
"30.10.2024","92,30","92,84","93,29","92,16","41,95M","0,29%"
"29.10.2024","92,03","91,17","92,06","90,98","46,55M","0,15%"
"28.10.2024","91,89","92,27","92,29","91,42","33,16M","-0,27%"
"25.10.2024","92,14","92,99","93,04","92,02","28,67M","-0,56%"
"24.10.2024","92,66","92,23","93,00","91,96","32,51M","0,64%"
"23.10.2024","92,07","91,84","92,37","91,66","33,35M","-0,27%"
"22.10.2024","92,32","92,65","92,76","92,09","32,10M","0,10%"
"21.10.2024","92,23","93,02","93,09","92,23","49,50M","-1,75%"
"18.10.2024","93,87","94,05","94,28","93,86","25,26M","0,07%"
"17.10.2024","93,80","94,29","94,44","93,67","43,43M","-1,58%"
"16.10.2024","95,31","95,39","95,62","95,14","32,28M","0,42%"
"15.10.2024","94,91","94,46","95,00","94,37","46,43M","1,22%"
"14.10.2024","93,76","93,04","93,78","92,98","28,80M","0,07%"
"11.10.2024","93,70","93,48","94,07","93,42","27,41M","-0,40%"
"10.10.2024","94,08","93,88","94,09","93,41","53,67M","-0,39%"
"09.10.2024","94,45","94,67","94,90","94,23","35,81M","-0,57%"
"08.10.2024","94,99","94,39","95,03","94,33","33,71M","0,17%"
"07.10.2024","94,83","94,98","95,27","94,76","42,61M","-0,75%"
"04.10.2024","95,55","95,44","95,96","95,40","56,97M","-1,23%"
"03.10.2024","96,74","97,34","97,51","96,74","39,68M","-0,94%"
"02.10.2024","97,66","97,36","97,73","97,06","35,81M","-0,84%"
"01.10.2024","98,49","98,80","99,33","98,39","45,25M","0,40%"
"30.09.2024","98,10","98,64","98,71","97,88","34,21M","-0,48%"
"27.09.2024","98,57","98,54","98,75","98,21","28,32M","0,52%"
"26.09.2024","98,06","98,07","98,25","97,42","33,33M","0,24%"
"25.09.2024","97,83","98,26","98,32","97,79","36,74M","-0,83%"
"24.09.2024","98,65","98,00","98,89","97,85","31,01M","-0,02%"
"23.09.2024","98,67","98,50","99,09","98,02","35,70M","-0,21%"
"20.09.2024","98,88","98,99","99,25","98,72","37,07M","-0,38%"
"19.09.2024","99,26","98,92","99,31","98,77","39,98M","-0,33%"
