"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"31.12.2024","45,73","45,29","45,87","45,21","","0,62%"
"30.12.2024","45,45","45,77","45,77","45,37","","-1,60%"
"27.12.2024","46,19","46,03","46,23","45,75","","0,87%"
"26.12.2024","45,79","46,31","46,41","45,73","","-0,26%"
"24.12.2024","45,91","46,09","46,29","45,83","","-0,17%"
"23.12.2024","45,99","45,50","45,99","45,34","","1,66%"
"20.12.2024","45,24","45,42","45,46","44,84","","-1,01%"
"19.12.2024","45,70","45,32","45,94","45,28","","1,69%"
"18.12.2024","44,94","44,18","44,98","43,83","","2,49%"
"17.12.2024","43,85","44,30","44,34","43,73","","-0,27%"
"16.12.2024","43,97","43,69","44,11","43,61","","-0,05%"
"13.12.2024","43,99","43,44","44,03","43,42","","1,73%"
"12.12.2024","43,24","43,00","43,32","42,69","","1,24%"
"11.12.2024","42,71","42,50","42,77","42,01","","1,18%"
"10.12.2024","42,21","42,34","42,44","42,17","","0,52%"
"09.12.2024","41,99","41,82","41,99","41,64","","1,16%"
"06.12.2024","41,51","41,84","42,15","41,26","","-0,69%"
"05.12.2024","41,80","42,07","42,25","41,74","","0,00%"
"04.12.2024","41,80","42,71","42,81","41,76","","-1,02%"
"03.12.2024","42,23","42,11","42,27","41,65","","0,64%"
"02.12.2024","41,96","42,07","42,48","41,74","","0,43%"
"29.11.2024","41,78","42,25","42,25","41,72","","-1,51%"
"27.11.2024","42,42","42,50","42,75","42,27","","-1,39%"
"26.11.2024","43,02","42,89","43,24","42,81","","0,87%"
"25.11.2024","42,65","43,18","43,32","42,61","","-3,29%"
"22.11.2024","44,10","43,90","44,30","43,83","","-0,50%"
"21.11.2024","44,32","44,04","44,38","43,77","","0,59%"
"20.11.2024","44,06","44,22","44,38","43,88","","0,62%"
"19.11.2024","43,79","43,63","43,92","43,37","","-0,79%"
"18.11.2024","44,14","44,81","44,91","44,08","","-0,32%"
"15.11.2024","44,28","44,30","45,05","44,00","","0,23%"
"14.11.2024","44,18","44,45","44,83","43,86","","-0,74%"
"13.11.2024","44,51","44,33","44,61","43,59","","0,43%"
"12.11.2024","44,32","43,71","44,43","43,61","","2,88%"
"11.11.2024","43,08","43,08","43,08","43,08","","0,05%"
"08.11.2024","43,06","43,14","43,30","42,64","","-0,81%"
"07.11.2024","43,41","44,16","44,33","43,39","","-1,92%"
"06.11.2024","44,26","44,32","44,77","44,02","","3,19%"
"05.11.2024","42,89","43,31","43,66","42,85","","-0,46%"
"04.11.2024","43,09","42,81","43,29","42,63","","-1,19%"
"01.11.2024","43,61","43,07","43,65","42,23","","1,80%"
"31.10.2024","42,84","42,88","43,33","42,60","","0,42%"
"30.10.2024","42,66","42,60","42,78","41,98","","-0,19%"
"29.10.2024","42,74","43,06","43,39","42,72","","-0,09%"
"28.10.2024","42,78","42,48","43,00","42,30","","1,09%"
"25.10.2024","42,32","42,04","42,34","41,78","","0,76%"
"24.10.2024","42,00","41,98","42,40","41,82","","-0,99%"
"23.10.2024","42,42","42,36","42,58","42,20","","0,90%"
"22.10.2024","42,04","41,86","42,16","41,66","","0,53%"
"21.10.2024","41,82","41,38","41,86","41,24","","2,68%"
"18.10.2024","40,73","41,08","41,10","40,65","","-0,56%"
"17.10.2024","40,96","40,32","41,00","40,32","","1,99%"
"16.10.2024","40,16","40,10","40,28","39,95","","-0,54%"
"15.10.2024","40,38","40,69","40,75","40,32","","-1,46%"
"14.10.2024","40,98","40,98","40,98","40,98","","0,61%"
"11.10.2024","40,73","40,92","41,16","40,67","","-0,56%"
"10.10.2024","40,96","40,79","41,20","40,53","","0,71%"
"09.10.2024","40,67","40,43","40,78","40,32","","0,84%"
"08.10.2024","40,33","40,33","40,57","40,22","","0,17%"
"07.10.2024","40,26","40,06","40,33","40,04","","1,13%"
"04.10.2024","39,81","38,67","39,81","38,67","","3,40%"
"03.10.2024","38,50","38,07","38,50","38,02","","1,72%"
"02.10.2024","37,85","37,83","38,17","37,75","","1,12%"
"01.10.2024","37,43","37,45","37,52","36,96","","-1,55%"
"30.09.2024","38,02","37,90","38,06","37,54","","1,41%"
"27.09.2024","37,49","37,77","37,83","37,41","","-1,11%"
"26.09.2024","37,91","37,58","38,21","37,55","","0,26%"
"25.09.2024","37,81","37,75","37,83","37,56","","1,20%"
"24.09.2024","37,36","37,94","38,10","37,28","","-0,08%"
"23.09.2024","37,39","37,58","37,94","37,30","","0,30%"
"20.09.2024","37,28","37,34","37,64","37,15","","-0,32%"
"19.09.2024","37,40","37,19","37,68","37,11","","1,49%"
"18.09.2024","36,85","36,81","36,96","36,38","","1,18%"
"17.09.2024","36,42","36,14","36,55","36,03","","0,58%"
"16.09.2024","36,21","36,38","36,63","36,18","","-0,79%"
"13.09.2024","36,50","36,59","36,76","36,44","","-0,82%"
"12.09.2024","36,80","36,61","37,04","36,40","","0,74%"
"11.09.2024","36,53","36,14","36,89","36,14","","0,19%"
"10.09.2024","36,46","37,15","37,15","36,39","","-1,38%"
"09.09.2024","36,97","37,48","37,48","36,91","","-0,35%"
"06.09.2024","37,10","37,08","37,61","36,48","","-0,56%"
"05.09.2024","37,31","37,40","37,72","37,21","","-0,98%"
"04.09.2024","37,68","38,23","38,42","37,67","","-1,98%"
"03.09.2024","38,44","39,15","39,23","38,25","","-1,71%"
"30.08.2024","39,11","38,61","39,15","38,52","","1,14%"
"29.08.2024","38,67","38,31","38,88","38,31","","0,68%"
"28.08.2024","38,41","38,24","38,44","38,20","","0,21%"
"27.08.2024","38,33","38,50","38,67","38,22","","0,39%"
"26.08.2024","38,18","38,10","38,22","37,74","","0,29%"
"23.08.2024","38,07","38,46","38,56","37,91","","-1,42%"
"22.08.2024","38,62","38,37","38,77","38,22","","2,22%"
"21.08.2024","37,78","38,10","38,31","37,63","","-1,05%"
"20.08.2024","38,18","38,64","38,65","38,14","","-1,27%"
