"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"31.12.2024","4.557,35","4.584,20","4.592,13","4.557,09","","-0,53%"
"30.12.2024","4.581,67","4.597,82","4.613,75","4.569,04","","-0,24%"
"27.12.2024","4.592,57","4.580,90","4.600,94","4.573,00","","0,32%"
"26.12.2024","4.577,86","4.549,74","4.584,50","4.531,15","","0,66%"
"25.12.2024","4.547,84","4.548,00","4.555,42","4.547,56","","0,07%"
"24.12.2024","4.544,78","4.590,69","4.593,33","4.535,67","","-0,94%"
"23.12.2024","4.588,08","4.576,58","4.602,31","4.552,90","","0,27%"
"20.12.2024","4.575,72","4.539,00","4.582,19","4.526,38","","0,88%"
"19.12.2024","4.535,97","4.527,46","4.587,20","4.524,83","","0,28%"
"18.12.2024","4.523,35","4.559,33","4.588,46","4.525,27","","-0,70%"
"17.12.2024","4.555,40","4.544,91","4.579,19","4.529,60","","0,31%"
"16.12.2024","4.541,50","4.531,85","4.553,35","4.522,02","","0,22%"
"13.12.2024","4.531,34","4.548,35","4.581,50","4.527,58","","-0,31%"
"12.12.2024","4.545,31","4.552,94","4.568,42","4.528,71","","-0,09%"
"11.12.2024","4.549,24","4.600,52","4.605,98","4.552,29","","-1,04%"
"10.12.2024","4.597,23","4.613,96","4.620,08","4.588,13","","-0,28%"
"09.12.2024","4.610,22","4.669,65","4.679,60","4.611,81","","-0,96%"
"06.12.2024","4.654,99","4.672,04","4.681,85","4.636,58","","-0,27%"
"05.12.2024","4.667,44","4.666,88","4.683,09","4.649,44","","0,08%"
"04.12.2024","4.663,81","4.667,50","4.678,21","4.639,76","","-0,04%"
"03.12.2024","4.665,60","4.681,58","4.696,69","4.656,86","","-0,28%"
"02.12.2024","4.678,51","4.690,90","4.710,04","4.652,19","","-0,19%"
"29.11.2024","4.687,37","4.663,42","4.700,89","4.645,54","","0,58%"
"28.11.2024","4.660,26","4.634,47","4.673,22","4.607,18","","0,64%"
"27.11.2024","4.630,73","4.615,77","4.665,57","4.610,84","","0,39%"
"26.11.2024","4.612,71","4.596,37","4.639,90","4.566,15","","0,41%"
"25.11.2024","4.593,75","4.627,74","4.641,88","4.589,40","","-0,20%"
