"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"31.12.2024","65,480","65,120","65,700","65,120","58,39K","0,60%"
"30.12.2024","65,090","64,370","65,250","64,370","79,90K","0,95%"
"27.12.2024","64,480","63,990","64,804","63,888","45,69K","0,95%"
"26.12.2024","63,875","64,020","64,350","63,760","45,26K","-0,35%"
"24.12.2024","64,100","63,800","64,300","63,800","47,57K","0,47%"
"23.12.2024","63,800","63,540","63,825","63,206","64,33K","-0,31%"
"20.12.2024","64,000","63,520","64,126","63,049","60,58K","-1,80%"
"19.12.2024","65,170","65,630","65,990","65,150","80,20K","-0,31%"
"18.12.2024","65,370","65,560","65,999","65,250","58,21K","-0,11%"
"17.12.2024","65,440","65,550","65,550","64,800","41,27K","-0,38%"
"16.12.2024","65,690","65,500","65,930","65,290","58,53K","0,26%"
"13.12.2024","65,520","65,200","65,690","65,133","43,19K","0,63%"
"12.12.2024","65,110","65,450","65,450","64,400","29,03K","0,02%"
"11.12.2024","65,100","64,350","65,430","64,290","79,74K","1,88%"
"10.12.2024","63,900","63,790","64,417","63,670","78,56K","0,61%"
"09.12.2024","63,510","63,170","64,100","63,170","99,75K","1,29%"
"06.12.2024","62,700","63,040","63,202","62,380","88,87K","-1,65%"
"05.12.2024","63,750","64,400","64,400","63,398","38,95K","-0,30%"
"04.12.2024","63,940","64,880","65,130","63,810","36,41K","-1,62%"
"03.12.2024","64,990","63,920","65,100","63,920","126,00K","2,48%"
"02.12.2024","63,420","63,790","63,967","63,166","47,26K","-0,41%"
"29.11.2024","63,680","64,140","64,544","63,660","43,20K","-0,38%"
"27.11.2024","63,920","63,510","64,260","63,300","34,45K","0,35%"
"26.11.2024","63,700","63,910","64,570","63,250","66,53K","-0,19%"
"25.11.2024","63,820","64,420","64,990","63,730","73,33K","-2,25%"
"22.11.2024","65,290","64,710","65,473","64,581","72,66K","1,19%"
"21.11.2024","64,520","64,120","64,670","64,060","55,77K","0,80%"
"20.11.2024","64,010","64,680","64,680","63,594","45,45K","-2,62%"
