"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"30.12.2024","18,15","18,10","18,30","17,95","1,07K","1,11%"
"27.12.2024","17,95","18,20","18,20","17,70","1,43K","-1,91%"
"23.12.2024","18,30","18,05","18,40","18,00","1,07K","-2,92%"
"20.12.2024","18,85","19,50","19,80","18,40","2,35K","0,53%"
"19.12.2024","18,75","19,25","19,65","18,50","2,11K","1,90%"
"18.12.2024","18,40","18,60","19,70","18,30","2,72K","0,55%"
"17.12.2024","18,30","18,50","18,60","18,20","4,80K","0,00%"
"16.12.2024","18,30","18,10","18,40","18,00","2,15K","1,39%"
"13.12.2024","18,05","17,85","18,20","17,80","1,16K","0,84%"
"12.12.2024","17,90","18,10","18,10","17,80","0,92K","0,56%"
"11.12.2024","17,80","18,15","18,20","17,70","1,21K","-0,56%"
"10.12.2024","17,90","18,15","18,20","17,90","1,38K","0,00%"
"09.12.2024","17,90","17,65","18,10","17,60","0,82K","0,28%"
"06.12.2024","17,85","18,05","18,05","17,75","1,14K","-0,28%"
"05.12.2024","17,90","18,00","18,05","17,80","0,81K","0,85%"
"04.12.2024","17,75","17,90","18,00","17,75","0,84K","-0,56%"
"03.12.2024","17,85","18,10","18,10","17,85","1,22K","-0,83%"
"02.12.2024","18,00","18,05","18,10","17,85","2,33K","0,00%"
"29.11.2024","18,00","18,10","18,15","17,90","0,16K","-1,37%"
"28.11.2024","18,25","18,15","18,30","18,10","0,35K","-0,27%"
"27.11.2024","18,30","18,50","18,50","18,30","0,90K","0,55%"
"26.11.2024","18,20","18,05","18,50","18,00","1,46K","1,11%"
"25.11.2024","18,00","18,05","18,25","18,00","0,54K","-1,37%"
"22.11.2024","18,25","18,45","18,60","18,15","0,49K","-1,08%"
"21.11.2024","18,45","18,55","18,70","18,45","1,14K","-3,66%"
"20.11.2024","19,15","18,70","19,20","18,50","13,96K","1,32%"
"19.11.2024","18,90","18,50","19,60","18,35","15,08K","3,00%"
"18.11.2024","18,35","18,10","18,50","18,05","3,83K","0,55%"
"15.11.2024","18,25","18,40","18,50","18,15","2,37K","1,67%"
"14.11.2024","17,95","17,95","18,15","17,90","0,67K","-1,37%"
"13.11.2024","18,20","18,20","18,35","18,05","1,61K","0,55%"
"12.11.2024","18,10","17,40","18,25","17,40","3,81K","3,13%"
"11.11.2024","17,55","17,70","17,70","17,45","0,69K","-1,40%"
"08.11.2024","17,80","17,70","17,95","17,70","0,81K","-0,28%"
"07.11.2024","17,85","18,05","18,10","17,75","1,04K","-0,83%"
"06.11.2024","18,00","18,05","18,40","17,70","2,03K","-2,70%"
"05.11.2024","18,50","18,95","18,95","18,45","1,55K","-1,86%"
"04.11.2024","18,85","19,10","19,15","18,70","2,58K","-0,26%"
"01.11.2024","18,90","19,25","19,25","18,80","1,00K","-1,05%"
"31.10.2024","19,10","19,05","19,20","18,80","1,17K","2,69%"
"30.10.2024","18,60","18,45","18,80","18,20","0,55K","1,64%"
"29.10.2024","18,30","18,25","18,35","18,20","0,39K","0,00%"
"28.10.2024","18,30","18,30","18,45","18,30","0,39K","-0,81%"
"25.10.2024","18,45","18,55","18,90","18,35","0,22K","-0,81%"
"24.10.2024","18,60","18,60","18,75","18,30","0,34K","0,54%"
"23.10.2024","18,50","18,90","18,90","18,45","1,71K","-0,80%"
"22.10.2024","18,65","19,00","19,00","18,45","0,40K","-0,53%"
"21.10.2024","18,75","18,25","18,75","18,25","0,95K","1,90%"
"18.10.2024","18,40","18,45","18,50","18,30","0,47K","-0,54%"
"17.10.2024","18,50","18,90","18,90","18,35","1,06K","-0,54%"
"16.10.2024","18,60","18,75","18,75","18,45","2,82K","1,09%"
"15.10.2024","18,40","18,00","18,65","18,00","5,53K","1,10%"
"14.10.2024","18,20","18,60","18,70","18,15","2,83K","-1,89%"
"11.10.2024","18,55","18,65","18,85","18,50","3,17K","-0,54%"
"10.10.2024","18,65","18,80","18,80","18,50","1,60K","0,00%"
