"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"31.12.2024","137,18","137,18","137,18","137,18","","0,69%"
"30.12.2024","136,24","136,24","136,24","136,24","","-1,86%"
"27.12.2024","138,82","138,82","138,82","138,82","","-0,78%"
"26.12.2024","139,91","139,91","139,91","139,91","","0,16%"
"24.12.2024","139,68","139,68","139,68","139,68","","0,21%"
"23.12.2024","139,39","139,39","139,39","139,39","","0,12%"
"20.12.2024","139,22","139,22","139,22","139,22","","1,30%"
"19.12.2024","137,43","137,43","137,43","137,43","","-0,74%"
"18.12.2024","138,45","138,45","138,45","138,45","","-4,69%"
"17.12.2024","145,26","145,26","145,26","145,26","","-0,81%"
"16.12.2024","146,44","146,44","146,44","146,44","","-1,00%"
"13.12.2024","147,92","147,92","147,92","147,92","","-2,39%"
"12.12.2024","151,54","151,54","151,54","151,54","","-3,67%"
"11.12.2024","157,31","157,31","157,31","157,31","","3,50%"
"10.12.2024","151,99","151,99","151,99","151,99","","-0,20%"
"09.12.2024","152,29","152,29","152,29","152,29","","3,09%"
"06.12.2024","147,72","147,72","147,72","147,72","","-1,94%"
"05.12.2024","150,64","150,64","150,64","150,64","","-0,56%"
"04.12.2024","151,49","151,49","151,49","151,49","","-0,64%"
"03.12.2024","152,46","152,46","152,46","152,46","","3,10%"
"02.12.2024","147,88","147,88","147,88","147,88","","-1,72%"
"29.11.2024","150,47","150,47","150,47","150,47","","0,47%"
"27.11.2024","149,77","149,77","149,77","149,77","","-0,03%"
"26.11.2024","149,82","149,82","149,82","149,82","","0,46%"
"25.11.2024","149,14","149,14","149,14","149,14","","-2,96%"
"22.11.2024","153,69","153,69","153,69","153,69","","0,18%"
"21.11.2024","153,41","153,41","153,41","153,41","","1,15%"
"20.11.2024","151,66","151,66","151,66","151,66","","-0,37%"
"19.11.2024","152,22","152,22","152,22","152,22","","2,07%"
"18.11.2024","149,14","149,14","149,14","149,14","","4,18%"
"15.11.2024","143,16","143,16","143,16","143,16","","-1,03%"
"14.11.2024","144,65","144,65","144,65","144,65","","0,86%"
"13.11.2024","143,42","143,42","143,42","143,42","","-1,47%"
"12.11.2024","145,56","145,56","145,56","145,56","","-1,50%"
"11.11.2024","147,78","147,78","147,78","147,78","","-5,71%"
"08.11.2024","156,73","156,73","156,73","156,73","","-1,58%"
"07.11.2024","159,25","159,25","159,25","159,25","","2,12%"
"06.11.2024","155,94","155,94","155,94","155,94","","-2,44%"
"05.11.2024","159,84","159,84","159,84","159,84","","0,53%"
"04.11.2024","159,00","159,00","159,00","159,00","","-0,18%"
"01.11.2024","159,28","159,28","159,28","159,28","","-1,19%"
"31.10.2024","161,20","161,20","161,20","161,20","","-3,15%"
"30.10.2024","166,44","166,44","166,44","166,44","","-1,32%"
"29.10.2024","168,66","168,66","168,66","168,66","","1,65%"
